,dtype,min,max,missing
name,object,ABEJORRAL,ÚTICA,0.0
dept code,int64,5,99,0.0
muni code,float64,5001.0,99773.0,0.03493290298953455
item code,object,TI,VAL,0.0
item init,float64,-13008000.0,21419541150515.0,0.0005060698195252789
item def,float64,-13008000.0,20911778579614.0,0.0005171369527554592
item recaudo,float64,-2309763518.64,18056010933493.44,0.0005402773222367152
item total,float64,-2309763518.64,19586073881838.3,0.0005402773222367152
year,int64,2012,2018,0.0
