short,long
Galeras,GALERAS
Guaranda,GUARANDA
La Unión,LA UNIÓN
Los Palmitos,LOS PALMITOS
Majagual,MAJAGUAL
Morroa,MORROA
Ovejas,OVEJAS
Palmito,PALMITO
Sampués,SAMPUÉS
San Benito Abad,SAN BENITO ABAD
San Juan de Betulia,SAN JUAN DE BETULIA
San Marcos,SAN MARCOS
San Onofre,SAN ONOFRE
San Pedro,SAN PEDRO
San Luis de Sincé,SAN LUIS DE SINCÉ
Sucre,SUCRE
Santiago de Tolú,SANTIAGO DE TOLÚ
Tolú Viejo,TOLÚ VIEJO
Ibagué,IBAGUÉ
Alpujarra,ALPUJARRA
Alvarado,ALVARADO
Ambalema,AMBALEMA
Anzoátegui,ANZOÁTEGUI
Armero,ARMERO
Ataco,ATACO
Cajamarca,CAJAMARCA
Carmen de Apicalá,CARMEN DE APICALÁ
Casabianca,CASABIANCA
Chaparral,CHAPARRAL
Coello,COELLO
Coyaima,COYAIMA
Cunday,CUNDAY
Dolores,DOLORES
Espinal,ESPINAL
Falan,FALAN
Flandes,FLANDES
Fresno,FRESNO
Guamo,GUAMO
Herveo,HERVEO
Honda,HONDA
Icononzo,ICONONZO
Lérida,LÉRIDA
Líbano,LÍBANO
San Sebastián de Mariquita,SAN SEBASTIÁN DE MARIQUITA
Melgar,MELGAR
Murillo,MURILLO
Natagaima,NATAGAIMA
Ortega,ORTEGA
Palocabildo,PALOCABILDO
Piedras,PIEDRAS
Planadas,PLANADAS
Prado,PRADO
Purificación,PURIFICACIÓN
Rioblanco,RIOBLANCO
Roncesvalles,RONCESVALLES
Rovira,ROVIRA
Saldaña,SALDAÑA
San Antonio,SAN ANTONIO
San Luis,SAN LUIS
Santa Isabel,SANTA ISABEL
Suárez,SUÁREZ
Valle de San Juan,VALLE DE SAN JUAN
Venadillo,VENADILLO
Villahermosa,VILLAHERMOSA
Villarrica,VILLARRICA
Cali,CALI
Alcalá,ALCALÁ
Andalucía,ANDALUCÍA
Ansermanuevo,ANSERMANUEVO
Argelia,ARGELIA
Bolívar,BOLÍVAR
Buenaventura,BUENAVENTURA
Guadalajara de Buga,GUADALAJARA DE BUGA
Bugalagrande,BUGALAGRANDE
Caicedonia,CAICEDONIA
Calima,CALIMA
Candelaria,CANDELARIA
Cartago,CARTAGO
Dagua,DAGUA
El Águila,EL ÁGUILA
El Cairo,EL CAIRO
El Cerrito,EL CERRITO
El Dovio,EL DOVIO
Florida,FLORIDA
Ginebra,GINEBRA
Guacarí,GUACARÍ
Jamundí,JAMUNDÍ
La Cumbre,LA CUMBRE
La Unión,LA UNIÓN
La Victoria,LA VICTORIA
Obando,OBANDO
Palmira,PALMIRA
Pradera,PRADERA
Restrepo,RESTREPO
Riofrío,RIOFRÍO
Roldanillo,ROLDANILLO
San Pedro,SAN PEDRO
Sevilla,SEVILLA
Toro,TORO
Trujillo,TRUJILLO
Tuluá,TULUÁ
Ulloa,ULLOA
Versalles,VERSALLES
Vijes,VIJES
Yotoco,YOTOCO
Yumbo,YUMBO
Zarzal,ZARZAL
Arauca,ARAUCA
Arauquita,ARAUQUITA
Cravo Norte,CRAVO NORTE
Fortul,FORTUL
Puerto Rondón,PUERTO RONDÓN
Saravena,SARAVENA
Tame,TAME
Yopal,YOPAL
Aguazul,AGUAZUL
Chameza,CHAMEZA
Hato Corozal,HATO COROZAL
La Salina,LA SALINA
Maní,MANÍ
Monterrey,MONTERREY
Nunchía,NUNCHÍA
Orocué,OROCUÉ
Paz de Ariporo,PAZ DE ARIPORO
Pore,PORE
Recetor,RECETOR
Sabanalarga,SABANALARGA
Sácama,SÁCAMA
San Luis de Palenque,SAN LUIS DE PALENQUE
Támara,TÁMARA
Tauramena,TAURAMENA
Trinidad,TRINIDAD
Villanueva,VILLANUEVA
Mocoa,MOCOA
Colón,COLÓN
Orito,ORITO
Puerto Asís,PUERTO ASÍS
Puerto Caicedo,PUERTO CAICEDO
Puerto Guzmán,PUERTO GUZMÁN
Puerto Leguízamo,PUERTO LEGUÍZAMO
Sibundoy,SIBUNDOY
San Francisco,SAN FRANCISCO
San Miguel,SAN MIGUEL
Santiago,SANTIAGO
Valle del Guamuez,VALLE DEL GUAMUEZ
Villagarzón,VILLAGARZÓN
Providencia,PROVIDENCIA
Leticia,LETICIA
Puerto Nariño,PUERTO NARIÑO
Inírida,INÍRIDA
San José del Guaviare,SAN JOSÉ DEL GUAVIARE
Calamar,CALAMAR
El Retorno,EL RETORNO
Miraflores,MIRAFLORES
Mitú,MITÚ
Caruru,CARURU
Taraira,TARAIRA
Puerto Carreño,PUERTO CARREÑO
La Primavera,LA PRIMAVERA
Santa Rosalía,SANTA ROSALÍA
Cumaribo,CUMARIBO
