short,long
Campohermoso,CAMPOHERMOSO
Cerinza,CERINZA
Chinavita,CHINAVITA
Chiquinquirá,CHIQUINQUIRÁ
Chiscas,CHISCAS
Chita,CHITA
Chitaraque,CHITARAQUE
Chivatá,CHIVATÁ
Ciénega,CIÉNEGA
Cómbita,CÓMBITA
Coper,COPER
Corrales,CORRALES
Covarachía,COVARACHÍA
Cubará,CUBARÁ
Cucaita,CUCAITA
Cuítiva,CUÍTIVA
Chíquiza,CHÍQUIZA
Chivor,CHIVOR
Duitama,DUITAMA
El Cocuy,EL COCUY
El Espino,EL ESPINO
Firavitoba,FIRAVITOBA
Floresta,FLORESTA
Gachantivá,GACHANTIVÁ
Gameza,GAMEZA
Garagoa,GARAGOA
Guacamayas,GUACAMAYAS
Guateque,GUATEQUE
Guayatá,GUAYATÁ
Gãœicán,GÃœICÁN
Iza,IZA
Jenesano,JENESANO
Jericó,JERICÓ
Labranzagrande,LABRANZAGRANDE
La Capilla,LA CAPILLA
La Victoria,LA VICTORIA
La Uvita,LA UVITA
Villa de Leyva,VILLA DE LEYVA
Macanal,MACANAL
Maripí,MARIPÍ
Miraflores,MIRAFLORES
Mongua,MONGUA
Monguí,MONGUÍ
Moniquirá,MONIQUIRÁ
Motavita,MOTAVITA
Muzo,MUZO
Nobsa,NOBSA
Nuevo Colón,NUEVO COLÓN
Oicatá,OICATÁ
Otanche,OTANCHE
Pachavita,PACHAVITA
Páez,PÁEZ
Paipa,PAIPA
Pajarito,PAJARITO
Panqueba,PANQUEBA
Pauna,PAUNA
Paya,PAYA
Paz de Río,PAZ DE RÍO
Pesca,PESCA
Pisba,PISBA
Puerto Boyacá,PUERTO BOYACÁ
Quípama,QUÍPAMA
Ramiriquí,RAMIRIQUÍ
Ráquira,RÁQUIRA
Rondón,RONDÓN
Saboyá,SABOYÁ
Sáchica,SÁCHICA
Samacá,SAMACÁ
San Eduardo,SAN EDUARDO
San José de Pare,SAN JOSÉ DE PARE
San Luis de Gaceno,SAN LUIS DE GACENO
San Mateo,SAN MATEO
San Miguel de Sema,SAN MIGUEL DE SEMA
San Pablo de Borbur,SAN PABLO DE BORBUR
Santana,SANTANA
Santa María,SANTA MARÍA
Santa Rosa de Viterbo,SANTA ROSA DE VITERBO
Santa Sofía,SANTA SOFÍA
Sativanorte,SATIVANORTE
Sativasur,SATIVASUR
Siachoque,SIACHOQUE
Soatá,SOATÁ
Socotá,SOCOTÁ
Socha,SOCHA
Sogamoso,SOGAMOSO
Somondoco,SOMONDOCO
Sora,SORA
Sotaquirá,SOTAQUIRÁ
Soracá,SORACÁ
Susacón,SUSACÓN
Sutamarchán,SUTAMARCHÁN
Sutatenza,SUTATENZA
Tasco,TASCO
Tenza,TENZA
Tibaná,TIBANÁ
Tibasosa,TIBASOSA
Tinjacá,TINJACÁ
Tipacoque,TIPACOQUE
Toca,TOCA
Togãœí,TOGÃœÍ
Tópaga,TÓPAGA
Tota,TOTA
Tununguá,TUNUNGUÁ
Turmequé,TURMEQUÉ
